date,co2_mean
2000-01-01,369.39
2000-02-01,369.65
2000-03-01,369.97
2000-04-01,370.35
2000-05-01,370.24
2000-06-01,369.31
2000-07-01,367.91
2000-08-01,366.76
2000-09-01,366.71
2000-10-01,367.91
2000-11-01,369.28
2000-12-01,370.1
2001-01-01,370.69
2001-02-01,371.18
2001-03-01,371.58
2001-04-01,371.9
2001-05-01,371.76
2001-06-01,370.83
2001-07-01,369.45
2001-08-01,368.31
2001-09-01,368.36
2001-10-01,369.71
2001-11-01,371.06
2001-12-01,371.98
2002-01-01,372.51
2002-02-01,372.91
2002-03-01,373.38
2002-04-01,373.73
2002-05-01,373.71
2002-06-01,372.84
2002-07-01,371.41
2002-08-01,370.35
2002-09-01,370.67
2002-10-01,371.95
2002-11-01,373.28
2002-12-01,374.26
2003-01-01,374.94
2003-02-01,375.47
2003-03-01,375.91
2003-04-01,376.39
2003-05-01,376.54
2003-06-01,375.71
2003-07-01,374.17
2003-08-01,372.94
2003-09-01,373.09
2003-10-01,374.36
2003-11-01,375.65
2003-12-01,376.52
2004-01-01,377.21
2004-02-01,377.72
2004-03-01,378.15
2004-04-01,378.48
2004-05-01,378.41
2004-06-01,377.51
2004-07-01,375.94
2004-08-01,374.47
2004-09-01,374.38
2004-10-01,375.72
2004-11-01,377.2
2004-12-01,378.17
2005-01-01,378.73
2005-02-01,379.26
2005-03-01,379.86
2005-04-01,380.32
2005-05-01,380.42
2005-06-01,379.6
2005-07-01,377.94
2005-08-01,376.73
2005-09-01,376.76
2005-10-01,378.07
2005-11-01,379.53
2005-12-01,380.52
2006-01-01,381.35
2006-02-01,381.97
2006-03-01,382.36
2006-04-01,382.69
2006-05-01,382.64
2006-06-01,381.77
2006-07-01,380.05
2006-08-01,378.46
2006-09-01,378.65
2006-10-01,380.12
2006-11-01,381.46
2006-12-01,382.4
2007-01-01,383.02
2007-02-01,383.54
2007-03-01,384.0
2007-04-01,384.27
2007-05-01,384.12
2007-06-01,383.25
2007-07-01,381.55
2007-08-01,380.3
2007-09-01,380.69
2007-10-01,382.11
2007-11-01,383.45
2007-12-01,384.46
2008-01-01,385.22
2008-02-01,385.74
2008-03-01,386.15
2008-04-01,386.54
2008-05-01,386.49
2008-06-01,385.58
2008-07-01,384.09
2008-08-01,382.77
2008-09-01,382.54
2008-10-01,383.66
2008-11-01,385.18
2008-12-01,386.27
2009-01-01,387.03
2009-02-01,387.48
2009-03-01,387.71
2009-04-01,387.99
2009-05-01,387.95
2009-06-01,386.96
2009-07-01,385.01
2009-08-01,383.63
2009-09-01,383.93
2009-10-01,385.49
2009-11-01,386.94
2009-12-01,387.84
2010-01-01,388.62
2010-02-01,389.34
2010-03-01,389.67
2010-04-01,389.98
2010-05-01,389.94
2010-06-01,389.01
2010-07-01,387.37
2010-08-01,386.24
2010-09-01,386.7
2010-10-01,388.24
2010-11-01,389.61
2010-12-01,390.33
2011-01-01,390.85
2011-02-01,391.29
2011-03-01,391.66
2011-04-01,392.05
2011-05-01,392.08
2011-06-01,391.14
2011-07-01,389.2
2011-08-01,387.87
2011-09-01,388.27
2011-10-01,389.83
2011-11-01,391.19
2011-12-01,392.02
2012-01-01,392.61
2012-02-01,393.2
2012-03-01,393.72
2012-04-01,393.99
2012-05-01,393.88
2012-06-01,392.84
2012-07-01,391.0
2012-08-01,389.89
2012-09-01,390.55
2012-10-01,392.16
2012-11-01,393.56
2012-12-01,394.39
2013-01-01,395.07
2013-02-01,395.69
2013-03-01,396.28
2013-04-01,396.74
2013-05-01,396.75
2013-06-01,395.96
2013-07-01,394.48
2013-08-01,393.24
2013-09-01,393.21
2013-10-01,394.5
2013-11-01,395.96
2013-12-01,396.87
2014-01-01,397.51
2014-02-01,397.97
2014-03-01,398.27
2014-04-01,398.63
2014-05-01,398.69
2014-06-01,397.72
2014-07-01,396.13
2014-08-01,395.02
2014-09-01,395.12
2014-10-01,396.38
2014-11-01,397.86
2014-12-01,398.83
2015-01-01,399.56
2015-02-01,400.12
2015-03-01,400.57
2015-04-01,400.96
2015-05-01,400.91
2015-06-01,400.06
2015-07-01,398.38
2015-08-01,397.07
2015-09-01,397.34
2015-10-01,398.8
2015-11-01,400.36
2015-12-01,401.66
2016-01-01,402.61
2016-02-01,403.24
2016-03-01,403.82
2016-04-01,404.34
2016-05-01,404.41
2016-06-01,403.63
2016-07-01,402.11
2016-08-01,400.8
2016-09-01,400.97
2016-10-01,402.41
2016-11-01,403.78
2016-12-01,404.68
2017-01-01,405.32
2017-02-01,405.91
2017-03-01,406.31
2017-04-01,406.6
2017-05-01,406.64
2017-06-01,405.84
2017-07-01,404.1
2017-08-01,402.55
2017-09-01,402.63
2017-10-01,404.15
2017-11-01,405.7
2017-12-01,406.76
2018-01-01,407.53
2018-02-01,408.24
2018-03-01,408.78
2018-04-01,409.08
2018-05-01,408.93
2018-06-01,408.06
2018-07-01,406.49
2018-08-01,405.13
2018-09-01,405.2
2018-10-01,406.65
2018-11-01,408.12
2018-12-01,409.19
2019-01-01,409.92
2019-02-01,410.34
2019-03-01,410.89
2019-04-01,411.35
2019-05-01,411.35
2019-06-01,410.54
2019-07-01,408.89
2019-08-01,407.65
2019-09-01,407.9
2019-10-01,409.41
2019-11-01,410.86
2019-12-01,411.75
2020-01-01,412.43
2020-02-01,412.95
2020-03-01,413.44
2020-04-01,413.86
2020-05-01,413.81
2020-06-01,412.88
2020-07-01,411.17
2020-08-01,409.73
2020-09-01,410.0
2020-10-01,411.66
2020-11-01,413.25
2020-12-01,414.14
